amfi_code,cagr,cagr_pct
120505,0.3282740607461121,32.82740607461121
119598,0.32423536152454613,32.423536152454616
149324,0.3228744045157361,32.287440451573616
148569,0.3194952310833252,31.94952310833252
148567,0.3097410750185903,30.974107501859027
120843,0.3090745475400549,30.907454754005492
100033,0.3012315310072722,30.12315310072722
149323,0.29581086910433996,29.581086910433996
119094,0.2821441719365203,28.214417193652032
119551,0.25804686425584,25.804686425584002
118632,0.24049492662391758,24.049492662391756
101206,0.2353836133468803,23.53836133468803
120504,0.2329511862010305,23.29511862010305
148568,0.2251686900711385,22.516869007113847
119552,0.21524235873769704,21.524235873769705
125497,0.19017795344711463,19.017795344711462
120503,0.18785325598262204,18.785325598262204
102885,0.18232378887705947,18.23237888770595
120506,0.1708486725575018,17.08486725575018
102887,0.16841120247307528,16.84112024730753
118634,0.16373474033415758,16.373474033415757
118633,0.16274217354504272,16.274217354504273
118635,0.15957231179671738,15.957231179671737
120841,0.1353221114899239,13.53221114899239
149322,0.13393275924001857,13.393275924001857
125498,0.11301817123279978,11.301817123279978
101207,0.07938764837247714,7.938764837247714
119093,0.07897557854375958,7.897557854375958
120507,0.07237539728384412,7.237539728384412
120844,0.06915272985067156,6.915272985067156
120842,0.06701543482038463,6.701543482038463
101208,0.06509026855465327,6.509026855465327
119092,0.06367989237605243,6.367989237605243
119120,0.05889418716346717,5.889418716346717
118636,0.05316889625171273,5.316889625171273
100025,0.04458209619173137,4.458209619173137
100016,0.026370743672111008,2.637074367211101
119599,0.02054484701809378,2.054484701809378
119095,0.015215045330823962,1.5215045330823962
102886,0.011717454918341197,1.1717454918341197
